	location	main_page	source_name	data_page	error_msg	comment
192	CO.Conejos	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
193	CO.El_Paso	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
194	CO.Kiowa	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
195	CO.Teller	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
196	CO.Gunnison	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
197	CO.Baca	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
198	CO.Elbert	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
199	CO.Mesa	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
200	CO.Dolores	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
201	CO.Arapahoe	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
202	CO.Las_Animas	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
203	CO.Grand	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
204	CT.Fairfield	https://portal.ct.gov/-/media/Coronavirus/CTDPHCOVID19summary3222020.pdf	cds			
205	CT.Hartford	https://portal.ct.gov/-/media/Coronavirus/CTDPHCOVID19summary3222020.pdf	cds			
206	CT.Litchfield	https://portal.ct.gov/-/media/Coronavirus/CTDPHCOVID19summary3222020.pdf	cds			
